investor_id,state,city,city_tier,age_group,gender,annual_income_lakh,kyc_status
INV001174,Maharashtra,Nashik,B30,36-45,Male,12.7,Verified
INV002811,Uttar Pradesh,Agra,B30,36-45,Male,43.7,Verified
INV002817,Gujarat,Ahmedabad,T30,26-35,Male,15.8,Verified
INV000006,Madhya Pradesh,Bhopal,B30,46-55,Female,43.0,Verified
INV000105,Punjab,Chandigarh,T30,56+,Male,41.4,Verified
INV000313,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Verified
INV000339,Uttar Pradesh,Kanpur,B30,26-35,Male,22.3,Verified
INV000349,Maharashtra,Mumbai,T30,18-25,Female,3.8,Verified
INV000370,Delhi,Noida,T30,26-35,Female,12.4,Verified
INV000662,Gujarat,Surat,T30,36-45,Female,20.1,Verified
INV001017,West Bengal,Kolkata,T30,26-35,Female,19.0,Verified
INV001106,Tamil Nadu,Chennai,T30,26-35,Male,13.1,Verified
INV001156,Madhya Pradesh,Indore,T30,56+,Female,58.8,Pending
INV001284,West Bengal,Kolkata,T30,36-45,Male,49.0,Verified
INV001328,Uttar Pradesh,Lucknow,T30,26-35,Male,7.4,Verified
INV001699,Madhya Pradesh,Indore,T30,26-35,Male,24.6,Verified
INV002621,Uttar Pradesh,Agra,B30,26-35,Female,22.6,Pending
INV001506,Delhi,Noida,T30,26-35,Female,16.0,Verified
INV002546,Gujarat,Surat,T30,26-35,Male,19.3,Verified
INV002374,Uttar Pradesh,Kanpur,B30,26-35,Female,8.6,Verified
INV002196,Delhi,Gurugram,T30,26-35,Female,23.6,Verified
INV002165,Telangana,Hyderabad,T30,46-55,Male,46.2,Verified
INV002560,Haryana,Faridabad,B30,26-35,Male,6.4,Verified
INV001890,Madhya Pradesh,Bhopal,B30,26-35,Male,21.9,Verified
INV001888,Delhi,New Delhi,T30,18-25,Female,6.4,Verified
INV001799,Rajasthan,Udaipur,B30,56+,Female,45.2,Verified
INV001727,Gujarat,Surat,T30,46-55,Female,74.1,Verified
INV002135,Gujarat,Ahmedabad,T30,56+,Male,18.3,Verified
INV003626,Madhya Pradesh,Indore,T30,26-35,Male,23.5,Verified
INV003609,Karnataka,Mysore,B30,26-35,Male,9.2,Verified
INV003571,Haryana,Faridabad,B30,36-45,Male,53.1,Verified
INV003379,Uttar Pradesh,Lucknow,T30,36-45,Male,43.2,Verified
INV003326,Karnataka,Bangalore,T30,36-45,Male,40.9,Verified
INV002865,Maharashtra,Pune,T30,18-25,Male,3.3,Verified
INV002888,Rajasthan,Udaipur,B30,26-35,Male,9.2,Pending
INV002847,Haryana,Faridabad,B30,26-35,Male,13.4,Verified
INV002708,Karnataka,Mysore,B30,26-35,Male,14.0,Verified
INV002599,Gujarat,Surat,T30,26-35,Male,11.4,Verified
INV003178,Telangana,Hyderabad,T30,46-55,Female,60.9,Verified
INV003737,Punjab,Chandigarh,T30,18-25,Male,4.4,Verified
INV004941,Maharashtra,Nashik,B30,26-35,Male,11.0,Verified
INV004125,Gujarat,Surat,T30,26-35,Male,9.4,Verified
INV004173,West Bengal,Kolkata,T30,26-35,Male,16.9,Verified
INV004288,Punjab,Amritsar,B30,18-25,Female,6.1,Verified
INV004357,Delhi,Gurugram,T30,46-55,Female,55.6,Verified
INV004391,Maharashtra,Mumbai,T30,26-35,Female,23.3,Verified
INV004544,Maharashtra,Mumbai,T30,36-45,Male,52.1,Verified
INV004562,Telangana,Hyderabad,T30,26-35,Female,19.0,Pending
INV004581,Gujarat,Surat,T30,26-35,Male,14.7,Pending
INV004633,Telangana,Hyderabad,T30,18-25,Female,4.9,Verified
INV004733,Telangana,Hyderabad,T30,18-25,Male,5.4,Pending
INV004867,Karnataka,Bangalore,T30,18-25,Male,7.3,Verified
INV002467,Punjab,Chandigarh,T30,36-45,Male,12.3,Verified
INV004024,Telangana,Hyderabad,T30,36-45,Male,23.1,Verified
INV002417,Tamil Nadu,Coimbatore,B30,26-35,Male,16.8,Verified
INV001454,Tamil Nadu,Chennai,T30,26-35,Male,9.3,Verified
INV002357,Delhi,Gurugram,T30,26-35,Male,7.8,Verified
INV002414,Gujarat,Surat,T30,26-35,Female,24.1,Verified
INV000007,Uttar Pradesh,Kanpur,B30,26-35,Male,21.9,Verified
INV000011,West Bengal,Kolkata,T30,26-35,Male,9.6,Verified
INV000321,Maharashtra,Mumbai,T30,26-35,Male,24.2,Verified
INV000431,Madhya Pradesh,Bhopal,B30,18-25,Female,4.6,Verified
INV000454,Uttar Pradesh,Lucknow,T30,18-25,Female,6.6,Verified
INV000527,Telangana,Hyderabad,T30,26-35,Male,12.1,Verified
INV000632,Delhi,Gurugram,T30,36-45,Male,49.1,Verified
INV000679,Haryana,Faridabad,B30,46-55,Female,79.1,Verified
INV000690,Delhi,Gurugram,T30,46-55,Male,98.7,Verified
INV000747,West Bengal,Kolkata,T30,36-45,Female,40.3,Verified
INV000849,Delhi,Gurugram,T30,56+,Female,32.5,Verified
INV000947,Delhi,Noida,T30,26-35,Male,11.0,Verified
INV000595,Gujarat,Surat,T30,18-25,Male,7.6,Verified
INV001167,Punjab,Amritsar,B30,36-45,Male,26.7,Verified
INV002101,Uttar Pradesh,Lucknow,T30,26-35,Male,14.7,Verified
INV000954,Haryana,Faridabad,B30,26-35,Female,8.3,Verified
INV002065,Rajasthan,Udaipur,B30,46-55,Male,78.6,Verified
INV002059,Haryana,Faridabad,B30,46-55,Male,95.1,Verified
INV001910,Karnataka,Mysore,B30,26-35,Female,15.2,Verified
INV001769,Punjab,Chandigarh,T30,18-25,Male,7.4,Pending
INV001860,Karnataka,Mysore,B30,26-35,Female,9.0,Verified
INV001411,Delhi,Gurugram,T30,26-35,Female,7.1,Verified
INV001367,Maharashtra,Nashik,B30,36-45,Male,32.2,Verified
INV001350,Madhya Pradesh,Bhopal,B30,46-55,Female,31.7,Verified
INV001508,Tamil Nadu,Coimbatore,B30,46-55,Male,63.3,Verified
INV003500,Maharashtra,Mumbai,T30,26-35,Male,15.5,Pending
INV003409,Karnataka,Mysore,B30,46-55,Male,44.2,Verified
INV003579,West Bengal,Kolkata,T30,18-25,Male,4.6,Verified
INV003489,Rajasthan,Udaipur,B30,26-35,Male,11.4,Verified
INV003414,Maharashtra,Pune,T30,36-45,Female,20.3,Verified
INV003410,Madhya Pradesh,Indore,T30,26-35,Male,7.7,Verified
INV003394,West Bengal,Kolkata,T30,26-35,Male,14.6,Verified
INV003100,Telangana,Hyderabad,T30,26-35,Male,16.5,Verified
INV003240,Haryana,Gurugram,T30,26-35,Male,21.7,Pending
INV003196,West Bengal,Kolkata,T30,26-35,Female,20.1,Verified
INV003191,Madhya Pradesh,Bhopal,B30,18-25,Female,6.8,Verified
INV003083,Madhya Pradesh,Bhopal,B30,56+,Female,41.3,Verified
INV003705,Telangana,Hyderabad,T30,26-35,Male,8.0,Pending
INV003040,Karnataka,Bangalore,T30,26-35,Female,15.3,Verified
INV003342,Tamil Nadu,Chennai,T30,56+,Male,32.8,Verified
INV003707,Telangana,Hyderabad,T30,36-45,Female,55.5,Verified
INV004797,Gujarat,Ahmedabad,T30,56+,Male,18.9,Verified
INV003953,Maharashtra,Pune,T30,36-45,Male,17.4,Verified
INV004939,Punjab,Amritsar,B30,18-25,Male,4.7,Verified
INV004896,Uttar Pradesh,Agra,B30,18-25,Female,3.5,Verified
INV004880,Punjab,Chandigarh,T30,26-35,Male,6.3,Verified
INV004688,West Bengal,Kolkata,T30,26-35,Male,20.7,Verified
INV004682,Telangana,Hyderabad,T30,26-35,Female,8.7,Verified
INV003946,Karnataka,Mysore,B30,26-35,Female,9.2,Verified
INV004602,Delhi,Noida,T30,26-35,Female,9.4,Verified
INV004563,Gujarat,Surat,T30,46-55,Female,32.2,Verified
INV004353,Uttar Pradesh,Agra,B30,56+,Male,31.2,Verified
INV004321,West Bengal,Kolkata,T30,26-35,Male,16.0,Verified
INV004138,Madhya Pradesh,Indore,T30,36-45,Male,18.2,Verified
INV004131,Uttar Pradesh,Kanpur,B30,26-35,Male,10.3,Verified
INV004059,Maharashtra,Pune,T30,26-35,Female,17.0,Verified
INV004593,Punjab,Amritsar,B30,26-35,Male,13.7,Verified
INV002912,Maharashtra,Mumbai,T30,26-35,Female,23.6,Verified
INV002960,Madhya Pradesh,Indore,T30,36-45,Male,57.1,Verified
INV002862,Telangana,Hyderabad,T30,56+,Male,72.7,Verified
INV001190,Maharashtra,Mumbai,T30,26-35,Male,15.6,Verified
INV001128,West Bengal,Kolkata,T30,36-45,Female,43.2,Verified
INV000874,Tamil Nadu,Chennai,T30,56+,Male,19.1,Verified
INV000803,Karnataka,Mysore,B30,26-35,Female,20.6,Verified
INV000663,Haryana,Gurugram,T30,26-35,Female,13.8,Pending
INV000639,Tamil Nadu,Coimbatore,B30,18-25,Female,3.6,Verified
INV001331,Gujarat,Ahmedabad,T30,26-35,Male,17.5,Verified
INV000544,Madhya Pradesh,Bhopal,B30,18-25,Male,3.6,Verified
INV000372,Gujarat,Surat,T30,36-45,Male,12.4,Verified
INV000330,Madhya Pradesh,Bhopal,B30,26-35,Female,11.9,Verified
INV000215,Maharashtra,Nashik,B30,26-35,Female,18.3,Verified
INV000144,Delhi,Noida,T30,26-35,Male,19.1,Verified
INV002891,Haryana,Faridabad,B30,36-45,Female,56.5,Verified
INV000386,Haryana,Faridabad,B30,36-45,Male,14.2,Verified
INV001536,Karnataka,Mysore,B30,26-35,Male,17.9,Verified
INV000091,Haryana,Gurugram,T30,26-35,Male,14.6,Verified
INV001579,Karnataka,Bangalore,T30,46-55,Male,71.1,Verified
INV001553,Delhi,Noida,T30,26-35,Male,23.5,Verified
INV002659,Madhya Pradesh,Bhopal,B30,36-45,Female,56.5,Verified
INV002642,Haryana,Gurugram,T30,46-55,Female,48.8,Verified
INV002554,Madhya Pradesh,Bhopal,B30,18-25,Male,5.4,Verified
INV002495,Maharashtra,Nashik,B30,26-35,Male,6.6,Verified
INV002436,Gujarat,Surat,T30,46-55,Male,28.8,Verified
INV002400,Punjab,Chandigarh,T30,36-45,Male,15.5,Verified
INV002748,Punjab,Amritsar,B30,26-35,Male,7.8,Verified
INV002302,West Bengal,Kolkata,T30,26-35,Male,10.1,Verified
INV002158,Madhya Pradesh,Indore,T30,26-35,Male,14.5,Verified
INV002056,Madhya Pradesh,Bhopal,B30,18-25,Female,3.4,Verified
INV002033,Gujarat,Ahmedabad,T30,46-55,Male,18.9,Verified
INV001997,Delhi,New Delhi,T30,56+,Female,24.8,Verified
INV002343,Punjab,Amritsar,B30,26-35,Male,22.1,Verified
INV001806,Telangana,Hyderabad,T30,36-45,Male,32.6,Verified
INV003937,Maharashtra,Nashik,B30,56+,Male,31.8,Verified
INV003846,Uttar Pradesh,Agra,B30,46-55,Female,44.2,Verified
INV003795,West Bengal,Kolkata,T30,18-25,Male,7.6,Verified
INV003641,Telangana,Hyderabad,T30,26-35,Female,13.1,Verified
INV003516,Delhi,Gurugram,T30,36-45,Female,14.0,Verified
INV003216,Delhi,New Delhi,T30,36-45,Male,12.6,Verified
INV003251,Tamil Nadu,Coimbatore,B30,36-45,Female,52.4,Verified
INV003211,Uttar Pradesh,Lucknow,T30,36-45,Male,55.1,Verified
INV003198,Uttar Pradesh,Lucknow,T30,46-55,Female,37.0,Verified
INV003193,Rajasthan,Jaipur,T30,36-45,Male,40.4,Verified
INV003171,Rajasthan,Jaipur,T30,36-45,Female,16.3,Verified
INV004096,Tamil Nadu,Coimbatore,B30,36-45,Male,57.1,Verified
INV003427,West Bengal,Kolkata,T30,18-25,Male,4.4,Verified
INV004257,Telangana,Hyderabad,T30,36-45,Male,22.0,Pending
INV004340,Karnataka,Mysore,B30,26-35,Male,17.9,Verified
INV004400,Uttar Pradesh,Agra,B30,26-35,Male,19.5,Verified
INV004452,Rajasthan,Udaipur,B30,26-35,Male,17.6,Verified
INV004472,West Bengal,Kolkata,T30,26-35,Female,19.1,Verified
INV004478,Delhi,New Delhi,T30,26-35,Male,13.8,Verified
INV004743,Maharashtra,Nashik,B30,36-45,Male,18.7,Verified
INV004889,Rajasthan,Jaipur,T30,46-55,Male,34.5,Verified
INV004902,Rajasthan,Jaipur,T30,18-25,Female,6.1,Verified
INV004919,Telangana,Hyderabad,T30,26-35,Male,6.6,Verified
INV004981,Haryana,Faridabad,B30,18-25,Male,3.5,Verified
INV004992,Rajasthan,Udaipur,B30,26-35,Male,11.1,Verified
INV004998,Gujarat,Ahmedabad,T30,36-45,Male,24.2,Verified
INV003076,Haryana,Gurugram,T30,26-35,Male,20.2,Verified
INV004291,Telangana,Hyderabad,T30,56+,Female,30.4,Verified
INV003075,Delhi,Gurugram,T30,46-55,Male,83.5,Verified
INV001636,Rajasthan,Udaipur,B30,18-25,Male,6.0,Verified
INV003063,Maharashtra,Mumbai,T30,36-45,Female,45.0,Verified
INV000058,Maharashtra,Mumbai,T30,26-35,Male,19.9,Verified
INV000181,Uttar Pradesh,Lucknow,T30,36-45,Male,36.2,Verified
INV000461,Punjab,Chandigarh,T30,36-45,Male,26.9,Pending
INV000476,Gujarat,Surat,T30,46-55,Female,21.2,Verified
INV000535,Tamil Nadu,Coimbatore,B30,36-45,Male,18.7,Verified
INV000642,Gujarat,Surat,T30,26-35,Male,15.6,Verified
INV000762,Delhi,Gurugram,T30,36-45,Female,29.8,Verified
INV000791,Madhya Pradesh,Bhopal,B30,26-35,Male,18.4,Verified
INV000854,Karnataka,Bangalore,T30,46-55,Female,79.7,Verified
INV000926,Delhi,New Delhi,T30,36-45,Male,46.1,Verified
INV001027,West Bengal,Kolkata,T30,46-55,Female,62.7,Verified
INV001070,Tamil Nadu,Coimbatore,B30,26-35,Male,11.9,Verified
INV001269,Maharashtra,Mumbai,T30,26-35,Male,14.4,Pending
INV000065,Maharashtra,Mumbai,T30,46-55,Female,43.2,Verified
INV001629,Madhya Pradesh,Indore,T30,26-35,Male,15.0,Verified
INV002947,Maharashtra,Nashik,B30,46-55,Male,73.3,Verified
INV002656,Tamil Nadu,Coimbatore,B30,26-35,Male,9.6,Verified
INV002611,West Bengal,Kolkata,T30,26-35,Male,21.5,Verified
INV001295,Madhya Pradesh,Indore,T30,36-45,Male,30.8,Verified
INV002567,Madhya Pradesh,Indore,T30,36-45,Male,20.3,Verified
INV002610,Tamil Nadu,Coimbatore,B30,36-45,Female,31.7,Verified
INV002225,Punjab,Amritsar,B30,46-55,Male,86.2,Verified
INV002154,Uttar Pradesh,Lucknow,T30,36-45,Male,40.5,Verified
INV001930,Tamil Nadu,Chennai,T30,26-35,Female,8.8,Verified
INV001811,Punjab,Amritsar,B30,18-25,Male,7.8,Verified
INV001651,Gujarat,Ahmedabad,T30,18-25,Male,4.1,Verified
INV003072,Tamil Nadu,Coimbatore,B30,18-25,Male,3.8,Verified
INV002530,Telangana,Hyderabad,T30,36-45,Male,53.9,Pending
INV003636,West Bengal,Kolkata,T30,46-55,Female,94.0,Verified
INV003564,Telangana,Hyderabad,T30,18-25,Male,6.8,Verified
INV003143,Karnataka,Mysore,B30,18-25,Female,5.9,Verified
INV003097,Punjab,Chandigarh,T30,26-35,Male,21.5,Verified
INV003070,West Bengal,Kolkata,T30,26-35,Male,23.7,Verified
INV002776,Tamil Nadu,Coimbatore,B30,18-25,Male,5.8,Pending
INV003022,Telangana,Hyderabad,T30,46-55,Male,60.2,Verified
INV002835,Haryana,Faridabad,B30,26-35,Male,11.2,Verified
INV002796,Telangana,Hyderabad,T30,36-45,Male,48.8,Pending
INV003691,Haryana,Faridabad,B30,18-25,Male,3.1,Verified
INV003060,Rajasthan,Jaipur,T30,56+,Female,16.6,Verified
INV003696,Tamil Nadu,Coimbatore,B30,18-25,Female,4.0,Verified
INV004230,Karnataka,Bangalore,T30,18-25,Female,7.4,Verified
INV003876,Rajasthan,Udaipur,B30,18-25,Male,5.6,Verified
INV003894,Tamil Nadu,Coimbatore,B30,26-35,Male,14.9,Verified
INV003991,Tamil Nadu,Chennai,T30,26-35,Female,20.9,Verified
INV003998,Telangana,Hyderabad,T30,26-35,Male,12.5,Verified
INV004134,West Bengal,Kolkata,T30,36-45,Male,24.4,Verified
INV004185,Tamil Nadu,Coimbatore,B30,46-55,Male,38.5,Verified
INV004329,Haryana,Gurugram,T30,18-25,Female,7.5,Verified
INV004412,Punjab,Amritsar,B30,26-35,Female,21.6,Verified
INV004497,Rajasthan,Jaipur,T30,26-35,Female,13.3,Verified
INV004594,Haryana,Gurugram,T30,26-35,Female,9.8,Verified
INV004811,Punjab,Amritsar,B30,26-35,Female,9.4,Verified
INV004832,Uttar Pradesh,Kanpur,B30,18-25,Male,3.8,Verified
INV002658,Madhya Pradesh,Indore,T30,26-35,Female,16.8,Verified
INV003744,Karnataka,Mysore,B30,18-25,Female,4.1,Verified
INV002565,Rajasthan,Jaipur,T30,26-35,Male,10.0,Verified
INV002329,Madhya Pradesh,Indore,T30,56+,Male,51.2,Verified
INV000783,Gujarat,Ahmedabad,T30,46-55,Male,92.0,Pending
INV002548,Haryana,Gurugram,T30,26-35,Male,21.3,Verified
INV000104,Madhya Pradesh,Indore,T30,26-35,Male,8.1,Pending
INV000126,Maharashtra,Mumbai,T30,26-35,Male,19.4,Pending
INV000163,Uttar Pradesh,Kanpur,B30,46-55,Male,70.4,Verified
INV000166,Telangana,Hyderabad,T30,26-35,Male,24.4,Verified
INV000182,Tamil Nadu,Chennai,T30,36-45,Male,38.1,Verified
INV000668,Telangana,Hyderabad,T30,18-25,Male,4.8,Verified
INV000960,West Bengal,Kolkata,T30,46-55,Male,90.6,Pending
INV000974,Maharashtra,Mumbai,T30,46-55,Male,88.6,Verified
INV001043,Haryana,Gurugram,T30,18-25,Male,7.8,Verified
INV001131,Tamil Nadu,Coimbatore,B30,36-45,Female,32.0,Verified
INV001283,Telangana,Hyderabad,T30,18-25,Male,4.6,Pending
INV001058,Uttar Pradesh,Kanpur,B30,36-45,Male,28.2,Verified
INV001492,Tamil Nadu,Chennai,T30,26-35,Male,19.6,Verified
INV002250,Telangana,Hyderabad,T30,36-45,Male,20.4,Verified
INV002034,Uttar Pradesh,Lucknow,T30,26-35,Male,10.0,Verified
INV001953,Haryana,Faridabad,B30,46-55,Male,55.0,Verified
INV001924,Karnataka,Bangalore,T30,18-25,Male,4.9,Verified
INV001923,Gujarat,Surat,T30,18-25,Female,4.0,Verified
INV001304,Gujarat,Ahmedabad,T30,26-35,Male,21.8,Pending
INV001870,Madhya Pradesh,Indore,T30,26-35,Male,19.3,Verified
INV001902,Punjab,Chandigarh,T30,46-55,Female,22.2,Verified
INV001770,Telangana,Hyderabad,T30,18-25,Male,6.3,Verified
INV001720,Karnataka,Mysore,B30,36-45,Male,43.6,Verified
INV001656,Madhya Pradesh,Bhopal,B30,26-35,Male,19.4,Verified
INV001630,Telangana,Hyderabad,T30,36-45,Male,15.4,Verified
INV001848,Punjab,Chandigarh,T30,26-35,Male,10.9,Verified
INV003341,Rajasthan,Jaipur,T30,26-35,Male,23.0,Verified
INV003279,Rajasthan,Jaipur,T30,46-55,Female,19.4,Pending
INV003325,Haryana,Faridabad,B30,26-35,Male,17.3,Verified
INV003322,Rajasthan,Jaipur,T30,26-35,Male,22.7,Verified
INV003319,Punjab,Chandigarh,T30,26-35,Male,12.8,Verified
INV003085,Delhi,Gurugram,T30,36-45,Female,29.2,Verified
INV002471,Punjab,Chandigarh,T30,18-25,Male,3.1,Verified
INV002870,Karnataka,Mysore,B30,26-35,Female,23.7,Verified
INV002834,West Bengal,Kolkata,T30,18-25,Male,6.9,Verified
INV002732,Uttar Pradesh,Lucknow,T30,18-25,Male,4.5,Verified
INV004894,Telangana,Hyderabad,T30,26-35,Female,21.0,Verified
INV002505,Tamil Nadu,Coimbatore,B30,36-45,Female,21.1,Verified
INV003343,Telangana,Hyderabad,T30,36-45,Male,26.0,Verified
INV003377,Uttar Pradesh,Agra,B30,36-45,Male,53.9,Verified
INV004841,West Bengal,Kolkata,T30,26-35,Male,21.4,Verified
INV003422,Uttar Pradesh,Lucknow,T30,26-35,Male,9.0,Verified
INV004008,Maharashtra,Nashik,B30,46-55,Male,17.2,Verified
INV004119,Uttar Pradesh,Kanpur,B30,26-35,Female,13.0,Verified
INV004132,Rajasthan,Jaipur,T30,18-25,Male,6.3,Verified
INV004258,Gujarat,Ahmedabad,T30,36-45,Male,56.6,Verified
INV004336,West Bengal,Kolkata,T30,46-55,Female,35.0,Verified
INV004349,Haryana,Gurugram,T30,26-35,Female,9.3,Verified
INV004427,Punjab,Amritsar,B30,36-45,Female,54.2,Verified
INV004498,Punjab,Chandigarh,T30,26-35,Male,6.7,Verified
INV004576,Rajasthan,Jaipur,T30,46-55,Male,54.5,Verified
INV004639,Rajasthan,Jaipur,T30,18-25,Female,6.0,Verified
INV004754,Telangana,Hyderabad,T30,36-45,Female,51.5,Verified
INV003411,Tamil Nadu,Chennai,T30,26-35,Male,14.2,Verified
INV001735,Maharashtra,Pune,T30,56+,Male,41.9,Verified
INV000032,Delhi,Noida,T30,36-45,Male,21.8,Verified
INV000155,Madhya Pradesh,Bhopal,B30,26-35,Female,17.4,Verified
INV000231,Rajasthan,Udaipur,B30,26-35,Female,22.9,Verified
INV000288,Telangana,Hyderabad,T30,26-35,Male,10.1,Verified
INV000307,Telangana,Hyderabad,T30,18-25,Male,7.8,Verified
